state,"Count of Aplications"
NewYork,24785
Massachusetts,6784
California,39292
Minnesota,5168
Pennsylvania,10192
Texas,24881
NorthCarolina,8062
Washington,5910
Florida,21165
Maryland,7174
Arizona,6952
Illinois,11851
Missouri,4569
Georgia,9357
NewMexico,1383
Delaware,820
NewJersey,10915
Michigan,7652
Colorado,6165
Oregon,3398
Ohio,9772
Indiana,5109
Montana,796
Connecticut,4935
Virginia,8080
Arkansas,2185
Idaho,821
Kansas,2322
Louisiana,3223
Nevada,4140
Alaska,669
Tennessee,4712
Wisconsin,3860
SouthCarolina,3605
Hawaii,1374
Oklahoma,2600
Alabama,3404
Nebraska,1422
Utah,1838
SouthDakota,553
NorthDakota,626
DistrictofColumbia,671
Kentucky,2751
Maine,878
Mississippi,1838
NewHampshire,1455
Wyoming,573
RhodeIsland,1360
Vermont,655
WestVirginia,3
